Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Precision,Recall,F1,Val Precision,Val Recall,Val F1,Epoch Time,Augmentation
1,5068.0913,1143.8552,6.77%,19.12%,0.0487,0.0677,0.0500,0.1565,0.1912,0.1612,23.32s,None
2,3624.8438,562.9574,29.66%,49.45%,0.2916,0.2966,0.2844,0.4989,0.4945,0.4565,22.34s,None
3,1859.0920,323.7848,57.72%,69.71%,0.5675,0.5772,0.5711,0.7286,0.6971,0.6827,21.66s,None
4,1078.8506,178.1989,76.02%,84.35%,0.7582,0.7602,0.7590,0.8502,0.8435,0.8357,22.32s,None
5,877.4342,161.4912,81.43%,87.03%,0.8139,0.8143,0.8140,0.8778,0.8703,0.8674,22.17s,None
6,299.4712,60.3663,93.59%,95.01%,0.9361,0.9359,0.9359,0.9519,0.9501,0.9502,22.03s,None
7,188.5488,54.4174,96.01%,95.28%,0.9602,0.9601,0.9601,0.9542,0.9528,0.9529,21.62s,None
8,162.2686,39.8163,96.57%,96.73%,0.9657,0.9657,0.9657,0.9684,0.9673,0.9673,21.14s,None
9,150.3051,36.0845,96.95%,97.11%,0.9696,0.9695,0.9695,0.9716,0.9711,0.9711,22.02s,None
10,123.0798,32.4003,97.40%,97.31%,0.9740,0.9740,0.9740,0.9742,0.9731,0.9730,22.22s,None
11,49.3486,13.8300,98.88%,98.85%,0.9888,0.9888,0.9888,0.9887,0.9885,0.9885,23.29s,None
12,26.2124,15.7969,99.43%,98.84%,0.9943,0.9943,0.9943,0.9886,0.9884,0.9884,22.26s,None
13,21.1069,16.2347,99.57%,98.83%,0.9957,0.9957,0.9957,0.9886,0.9883,0.9884,22.21s,None
14,16.7158,20.1710,99.63%,98.83%,0.9963,0.9963,0.9963,0.9884,0.9883,0.9882,24.75s,None
15,17.6565,14.6593,99.57%,99.06%,0.9957,0.9957,0.9957,0.9907,0.9906,0.9906,23.16s,None
16,5.3461,14.2744,99.91%,99.15%,0.9991,0.9991,0.9991,0.9916,0.9915,0.9915,38.45s,None
17,2.6898,14.4252,99.96%,99.21%,0.9996,0.9996,0.9996,0.9921,0.9921,0.9921,39.35s,None
